Project,Domain,Exis.,Exec.,Exis-Exec.,Prop.,Exis-Prop.,Exec-Prop.,All,Non-Arch.,Total
Apache-TOMEE,web development,46,716,7,10,1,29,3,2925,3737
RedHat-ACM,devops and cloud,507,107,41,22,55,0,9,1385,2126
Apache-SM,soa and middlewares,93,1893,22,4,8,6,1,2777,4804
Apache-CASSANDRA,data storage & processing,644,623,45,344,506,110,21,15873,18166
Spring-BATCH,data storage & processing,148,101,4,4,27,1,2,2311,2598
RedHat-TRACING,devops and cloud,94,487,30,8,20,12,5,1226,1882
Apache-AURORA,devops and cloud,124,155,14,29,29,3,1,1615,1970
RedHat-JBWS,soa and middlewares,178,576,16,21,19,9,4,3125,3948
Apache-AMBARI,data storage & processing,1349,855,53,88,91,28,4,23098,25566
Jira-JRACLOUD,content management,1292,1006,69,92,115,35,9,27040,29658
Apache-BEAM,data storage & processing,513,2295,152,77,67,46,12,11389,14551
Apache-TEZ,data storage & processing,311,219,6,54,60,12,1,3797,4460
RedHat-CRW,software development tools,58,445,13,8,7,5,0,2534,3070
Apache-MNG,software development tools,205,477,6,22,29,10,3,5610,6362
Apache-ZEPPELIN,data storage & processing,159,673,25,30,31,18,4,4938,5878
Apache-KYLIN,data storage & processing,142,503,31,38,21,30,6,4545,5316
Apache-SMX4,soa and middlewares,22,667,4,2,2,3,2,1203,1905
Apache-DELTASPIKE,web development,54,120,4,2,8,2,2,1267,1459
Spring-ROO,software development tools,181,384,21,14,21,4,4,3358,3987
RedHat-TEIIDDES,data storage & processing,250,104,7,20,20,2,1,2695,3099
Apache-AVRO,data storage & processing,76,823,69,33,16,35,8,2646,3706
Apache-SOLR,content management,798,946,83,170,180,100,18,14225,16520
Apache-PARQUET,data storage & processing,68,395,19,21,20,17,7,1690,2237
Apache-CAY,data storage & processing,160,164,33,29,35,6,6,2356,2789
Apache-FLUME,data storage & processing,172,441,30,24,31,26,5,2704,3433
Apache-CONNECTORS,content management,86,197,19,8,19,6,2,1406,1743
RedHat-UNDERTOW,web development,29,116,7,12,15,16,0,1794,1989
Jira-JSDCLOUD,content management,1063,133,43,30,100,4,4,6809,8186
Jira-JSDSERVER,content management,855,183,23,32,65,18,4,7046,8226
Jira-SRCTREE,software development tools,157,283,3,25,13,15,0,4995,5491
Apache-PIG,data storage & processing,172,289,14,62,53,10,2,4754,5356
Apache-HOP,data storage & processing,137,284,9,8,10,4,2,2691,3145
RedHat-ERRAI,web development,54,123,8,9,15,4,0,891,1104
RedHat-OADP,devops and cloud,60,88,7,6,7,0,3,831,1002
Apache-WICKET,web development,173,253,12,24,23,9,3,6523,7020
Apache-ORC,data storage & processing,26,317,4,9,12,3,1,1011,1383
Apache-STRATOS,devops and cloud,191,89,18,5,20,2,1,1336,1662
RedHat-ODC,software development tools,372,42,22,21,23,0,1,1517,1998
JiraEcosystem-PL,software development tools,44,136,1,5,2,2,0,2699,2889
Apache-TAVERNA,data storage & processing,77,103,7,6,18,2,0,850,1063
Apache-IGNITE,data storage & processing,1406,853,121,206,333,40,11,15955,18925
RedHat-HAC,devops and cloud,259,81,13,7,6,5,0,2641,3012
Jira-BSERV,software development tools,439,610,28,94,85,59,10,7105,8430
Spring-DATACMNS,data storage & processing,65,314,6,8,7,0,0,1381,1781
Apache-FELIX,soa and middlewares,340,422,16,49,41,10,1,5614,6493
Apache-SENTRY,data storage & processing,196,177,1,22,34,6,2,2126,2564
RedHat-HAL,web development,99,75,1,8,2,3,0,1483,1671
Apache-MSHARED,software development tools,8,388,1,2,1,5,0,763,1168
RedHat-ISPN,data storage & processing,633,1270,38,120,218,17,16,11316,13628
Apache-TRINIDAD,web development,152,98,1,20,20,3,0,2267,2561
Apache-FOR,content management,38,92,4,5,4,0,0,1108,1251
Apache-ARIES,soa and middlewares,150,221,5,12,14,0,0,1694,2096
Apache-JCLOUDS,devops and cloud,54,272,25,4,6,13,5,1241,1620
Apache-GERONIMO,web development,235,827,44,17,29,20,4,5568,6744
RedHat-MODE,data storage & processing,255,213,28,24,54,6,4,2096,2680
Apache-HTTPCLIENT,soa and middlewares,46,110,3,24,23,10,2,1961,2179
Apache-HDDS,data storage & processing,641,401,26,67,88,9,8,6819,8059
Apache-TOMAHAWK,web development,47,63,7,1,3,1,0,1561,1683
